epoch,loss
21,3.6680729389190674
22,3.9360222816467285
23,3.5891075134277344
24,3.4409236907958984
25,3.427661180496216
26,3.745418071746826
27,3.442479372024536
28,3.300685405731201
29,3.6612091064453125
30,3.7625224590301514
31,3.4420382976531982
32,3.6143736839294434
33,3.672724962234497
34,3.5971877574920654
35,3.4019274711608887
36,3.771125078201294
37,3.9580142498016357
38,3.6024608612060547
39,3.4335925579071045
40,3.506406307220459
41,3.6297595500946045
42,3.616549015045166
43,3.4440479278564453
44,3.5040695667266846
45,3.9634101390838623
46,3.594756603240967
47,3.61602783203125
48,3.680445432662964
49,3.6302649974823
50,3.6091904640197754
51,3.35432767868042
52,3.576253890991211
53,3.8794331550598145
54,3.8674774169921875
55,3.6183838844299316
56,3.9040801525115967
57,3.4825196266174316
58,3.677593231201172
59,3.9475111961364746
60,3.4931702613830566
61,3.488828659057617
62,4.070374488830566
63,3.602497100830078
64,4.0020036697387695
65,3.4772491455078125
66,3.6485652923583984
67,3.753777265548706
68,3.7419629096984863
69,3.68994140625
70,3.2091164588928223
